table_id,source_file,page,table_index,row_count,column_count,bbox,status,sample
TBL-00001,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,4,1,7,8,"[65.11555586920844, 191.4340057373047, 645.4979858398438, 354.04474080403645]",ok, /  /  /  /  /  /  /  |  /  /  /  /  /  /  /  | 17.86% /  /  /  /  /  /  / 
TBL-00002,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,6,1,9,4,"[65.05090938914906, 167.0469970703125, 166.5869903564453, 353.83415061549135]",ok, /  /  /  |  /  /  /  |  /  /  / 
TBL-00003,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,7,1,11,6,"[37.53333409627279, 140.63062477111816, 682.5506266276042, 379.8918685913086]",ok,排名 / 工作地名称 / 占比 / 排名 / 居住地名称 / 占比 | 1 / 北京东光实业总公司 / 39.45% / 1 / 环湖小镇西区 / 4.379% | 2 / 通州区出入境检验检疫局 / 14.679% / 2 / 北许场新村 / 4.096%
TBL-00004,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,8,1,11,6,"[37.54400100708008, 140.63062477111816, 682.5506266276042, 379.8918685913086]",ok,排名 / 工作地名称 / 占比 / 排名 / 居住地名称 / 占比 | 1 / 北京通州万达广场 / 1.215% / 1 / 环湖小镇西区 / 0.603% | 2 / 华远好天地(北京铭悦) / 0.979% / 2 / 京贸国际城 / 0.544%
TBL-00005,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,5,4,"[37.53333409627279, 133.10700073242188, 358.1777818467882, 248.9070037841797]",ok,排序 / POI名称 / 指数 / 扩展信息 | 1 / 北京宴(通州大运河店) / 2624 / 人均消费434元 | 2 / 熙僖小馆(副中心绿心公园店) / 2079 / 人均消费118元
TBL-00006,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,10,1,19,8,"[37.54400100708008, 133.10700073242188, 682.5506713867187, 386.4929992675781]",ok,排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 簋街 / 4807 /  / 11 / 必胜客(南锣鼓巷店) / 3812 / 人均消费79元 | 2 / gulugulu(中国国际贸易中心 店) / 4161 / 人均消费28元 / 12 / 丰泽园饭店(珠市口店) / 3805 / 人均消费204元
TBL-00007,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,11,1,16,8,"[37.54400100708008, 133.10700073242188, 682.5506713867187, 379.4309936523438]",ok,排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 联东u谷 / 4476 /  / 11 / 国网北京通州供电公司 / 3819 /  | 2 / 北京创业港湾科技有限公司 / 4317 /  / 12 / 北汽新能源营销公司 / 3771 / 
TBL-00008,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,12,1,11,8,"[37.54400100708008, 133.10700073242188, 682.5506713867187, 372.36900634765624]",ok,排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 北京通州万达广场 / 5312 /  / 11 / 鑫隆生活广场 / 4620 /  | 2 / 领展购物广场·京通 / 5022 /  / 12 / 凯德mall(西直门店) / 4580 / 
TBL-00009,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,13,1,19,8,"[37.54400100708008, 133.10700073242188, 682.5506713867187, 386.4929992675781]",ok,排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 链家地产(双龙南里店) / 4019 /  / 11 / 心心宠物生活馆 / 3433 /  | 2 / 宠福鑫动物医院(东方丽景分 院) / 3643 /  / 12 / 链家地产(海晟名苑一店) / 3431 / 
TBL-00010,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,14,1,11,8,"[37.54400100708008, 133.10700073242188, 682.5506713867187, 379.4309936523438]",ok,排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 北京环球度假区 / 5048 /  / 11 / 瑞幸咖啡(恒安大厦店) / 3721 /  | 2 / 欢乐谷 / 4320 /  / 12 / costa coffee(雍和宫店) / 3709 / 
