table_id,row_key,field,status
TBL-00046,高,占比,added
TBL-00046,高,TGI,added
TBL-00046,次高,占比,added
TBL-00046,次高,TGI,added
TBL-00046,中,占比,added
TBL-00046,中,TGI,added
TBL-00046,低,占比,added
TBL-00046,低,TGI,added
TBL-00046,次低,占比,added
TBL-00046,次低,TGI,added
TBL-00049,101-150元,占比,skipped_existing_first_batch
TBL-00049,101-150元,TGI,skipped_existing_first_batch
TBL-00049,51-100元,占比,added
TBL-00049,51-100元,TGI,added
TBL-00049,50元以内,占比,added
TBL-00049,50元以内,TGI,added
TBL-00049,151-200元,占比,added
TBL-00049,151-200元,TGI,added
TBL-00049,201-300元,占比,added
TBL-00049,201-300元,TGI,added
TBL-00049,301-500元,占比,added
TBL-00049,301-500元,TGI,added
TBL-00049,500元以上,占比,added
TBL-00049,500元以上,TGI,added
TBL-00054,中,占比,added
TBL-00054,中,TGI,added
TBL-00054,次高,占比,added
TBL-00054,次高,TGI,added
TBL-00054,高,占比,added
TBL-00054,高,TGI,added
TBL-00054,次低,占比,added
TBL-00054,次低,TGI,added
TBL-00054,低,占比,added
TBL-00054,低,TGI,added
TBL-00055,601-800元,占比,added
TBL-00055,601-800元,TGI,added
TBL-00055,151-300元,占比,added
TBL-00055,151-300元,TGI,added
TBL-00055,451-600元,占比,added
TBL-00055,451-600元,TGI,added
TBL-00055,301-450元,占比,added
TBL-00055,301-450元,TGI,added
TBL-00055,801-1000元,占比,added
TBL-00055,801-1000元,TGI,added
TBL-00055,1001-1500元,占比,added
TBL-00055,1001-1500元,TGI,added
TBL-00055,150元以内,占比,added
TBL-00055,150元以内,TGI,added
TBL-00055,1501-2000元,占比,added
TBL-00055,1501-2000元,TGI,added
TBL-00055,2000元以上,占比,added
TBL-00055,2000元以上,TGI,added
TBL-00058,08月,人群覆盖度,added
TBL-00058,08月,TGI,added
TBL-00058,01月,人群覆盖度,added
TBL-00058,01月,TGI,added
TBL-00058,05月,人群覆盖度,added
TBL-00058,05月,TGI,added
TBL-00058,07月,人群覆盖度,added
TBL-00058,07月,TGI,added
TBL-00058,06月,人群覆盖度,added
TBL-00058,06月,TGI,added
TBL-00058,09月,人群覆盖度,added
TBL-00058,09月,TGI,added
TBL-00058,02月,人群覆盖度,added
TBL-00058,02月,TGI,added
TBL-00058,04月,人群覆盖度,added
TBL-00058,04月,TGI,added
TBL-00058,03月,人群覆盖度,added
TBL-00058,03月,TGI,added
TBL-00058,10月,人群覆盖度,added
TBL-00058,10月,TGI,added
TBL-00194,回龙观-北京市,人群覆盖度,added
TBL-00194,奥林匹克公园-北京市,人群覆盖度,added
TBL-00194,天通苑-北京市,人群覆盖度,added
TBL-00194,西三旗-北京市,人群覆盖度,added
TBL-00194,北苑路北-北京市,人群覆盖度,added
TBL-00194,立水桥南-北京市,人群覆盖度,added
TBL-00194,永泰庄-北京市,人群覆盖度,added
TBL-00194,学清路-北京市,人群覆盖度,added
TBL-00194,永丰-北京市,人群覆盖度,added
TBL-00194,大屯-北京市,人群覆盖度,added
TBL-00198,高,占比,added
TBL-00198,高,TGI,added
TBL-00198,次高,占比,added
TBL-00198,次高,TGI,added
TBL-00198,中,占比,added
TBL-00198,中,TGI,added
TBL-00198,次低,占比,added
TBL-00198,次低,TGI,added
TBL-00198,低,占比,added
TBL-00198,低,TGI,added
TBL-00199,301-450元,占比,added
TBL-00199,301-450元,TGI,added
TBL-00199,451-600元,占比,added
TBL-00199,451-600元,TGI,added
TBL-00199,151-300元,占比,added
TBL-00199,151-300元,TGI,added
TBL-00199,601-800元,占比,added
TBL-00199,601-800元,TGI,added
TBL-00199,1001-1500元,占比,added
TBL-00199,1001-1500元,TGI,added
TBL-00199,801-1000元,占比,added
TBL-00199,801-1000元,TGI,added
TBL-00199,150元以内,占比,added
TBL-00199,150元以内,TGI,added
TBL-00199,2000元以上,占比,added
TBL-00199,2000元以上,TGI,added
TBL-00199,1501-2000元,占比,added
TBL-00199,1501-2000元,TGI,added
TBL-00200,51-100元,占比,skipped_existing_first_batch
TBL-00200,51-100元,TGI,added
TBL-00200,101-150元,占比,added
TBL-00200,101-150元,TGI,skipped_existing_first_batch
TBL-00200,50元以内,占比,added
TBL-00200,50元以内,TGI,added
TBL-00200,151-200元,占比,added
TBL-00200,151-200元,TGI,added
TBL-00200,201-300元,占比,added
TBL-00200,201-300元,TGI,added
TBL-00200,301-500元,占比,added
TBL-00200,301-500元,TGI,added
TBL-00200,500元以上,占比,added
TBL-00200,500元以上,TGI,added
TBL-00201,11次及以上,占比,skipped_existing_first_batch
TBL-00201,11次及以上,TGI,skipped_existing_first_batch
TBL-00201,1-2次,占比,added
TBL-00201,1-2次,TGI,added
TBL-00201,3-4次,占比,added
TBL-00201,3-4次,TGI,added
TBL-00201,5-6次,占比,added
TBL-00201,5-6次,TGI,added
TBL-00201,7-8次,占比,added
TBL-00201,7-8次,TGI,added
TBL-00201,9-10次,占比,added
TBL-00201,9-10次,TGI,added
TBL-00202,1-2次,占比,added
TBL-00202,1-2次,TGI,added
TBL-00202,3-4次,占比,added
TBL-00202,3-4次,TGI,added
TBL-00202,5-6次,占比,added
TBL-00202,5-6次,TGI,added
TBL-00202,11次及以上,占比,added
TBL-00202,11次及以上,TGI,added
TBL-00202,7-8次,占比,added
TBL-00202,7-8次,TGI,added
TBL-00202,9-10次,占比,added
TBL-00202,9-10次,TGI,added
TBL-00213,1-2次,占比,added
