source_file,unit_type,unit_index,pymupdf_table_count,table_like_score,numeric_count,percent_count,currency_count,snippet
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,4,1,22,37,16,0,Dream Deck F20职住地覆盖距离分析 0.00% 0.01% 1.49% 3.96% 11.36% 17.86% 17.11% 48.21% 0% 10% 20% 30% 40% 50% 60% 0-500米 501-1000米 1001-2000米 2001-3000米 3001-5000米 5001-10000米 10001-20000米 20000米以上 20221023-20231022期间到访“城市绿心公园”1-30
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,6,1,22,34,20,0,Dream Deck F40到访频次分析 73.91% 13.63% 5.19% 2.62% 1.55% 1.02% 0.74% 0.55% 0.44% 0.34% 0% 10% 20% 30% 40% 50% 60% 70% 80% 1次 2次 3次 4次 5次 6次 7次 8次 9次 10次 20221023-20231022期间到访“城市绿心公园”的流动人口中，到访1次的占比最高，为 73.91%。
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,7,1,24,37,16,0,Dream Deck F61人群职住地分析 排名 工作地名称 占比 1 北京东光实业总公司 39.45% 2 通州区出入境检验检疫局 14.679% 3 天泰御香苑大酒店 11.927% 4 中国人民大学(东校区) 7.798% 排名 居住地名称 占比 1 环湖小镇西区 4.379% 2 北许场新村 4.096% 3 环湖小镇 3.955% 4 芳草园小区 2.542% 5 月亮湾晓镇 2.26% 6 金隅通和园 1.977% 7 金隅
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,8,1,24,48,22,0,Dream Deck F61人群职住地分析 排名 工作地名称 占比 1 北京通州万达广场 1.215% 2 华远好天地(北京铭悦) 0.979% 3 富力运河十号 0.597% 4 华腾世纪总部公园 0.488% 5 金融街园中园 0.456% 6 中国人民大学(东校区) 0.423% 7 保利·大都汇 0.409% 8 京东集团总部 0.372% 9 华联商厦(通胡大街店) 0.336% 10 京东运乔建材城 0.292% 排名 居住
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,9,1,16,15,0,4,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 1 北京宴(通州大运河店) 2624 人均消费434元 2 熙僖小馆(副中心绿心公园店) 2079 人均消费118元 3 金鼎轩·南北家乡菜(绿心路分 店) 845 人均消费95元 4 砖城徽菜 845 人均消费203元 20221023-20231022期间到访“城市绿心公园”的流动人口，在区域内范围内最热门到访的美 食类地点为“北京宴(通州大运河店)”
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,10,1,16,62,0,19,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 簋街 4807 2 gulugulu(中国国际贸易中心 店) 4161 人均消费28元 3 必胜客(朝阳大悦城店) 4075 人均消费85元 4 麦当劳(物资学院店) 4073 人均消费29元 5 北门涮肉(南锣鼓巷店) 4033 人均消费108元 6 福兰德酒楼(龙旺庄店) 3973 人均消费86元 7 肯德基(珠市
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,11,1,16,44,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 联东u谷 4476 2 北京创业港湾科技有限公司 4317 3 中国联通北京市分公司(上四 条) 4102 4 一花一界集团 4059 5 东方盛泽集团 4018 6 雅客智慧(北京)科技有限公司 3959 7 北京佳泰新材料有限公司 3924 8 甘李药业股份有限公司 3922 9 北京四环制药有限公司 3904 1
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,12,1,16,44,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 北京通州万达广场 5312 2 领展购物广场·京通 5022 3 新华联 4986 4 北京金融街 4982 5 龙湖北京长楹天街 4803 6 北京朝阳合生汇 4786 7 通州万达广场西门金街b区 4778 8 十里河家居建材商业街 4740 9 西单商业街 4675 10 朝阳大悦城 4667 11 鑫隆生活广场
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,13,1,16,43,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 链家地产(双龙南里店) 4019 2 宠福鑫动物医院(东方丽景分 院) 3643 3 麦田房产(将台路店) 3567 4 建国门三菱空调维修社区服 务中心 3564 5 麦田房产(利泽西园一区店) 3542 6 landz 3537 7 麦田房产(华纺易城店) 3516 8 美玉萱城美容养生会所 3505 9 恒洋地产
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,14,1,16,43,0,0,Dream Deck F120热门到访地点分析 排序 POI名称 指数 扩展信息 排序 POI名称 指数 扩展信息 1 北京环球度假区 5048 2 欢乐谷 4320 3 国家大剧院 4228 4 瑞幸咖啡(乐成中心店) 4126 5 瑞幸咖啡(汇佳大厦店) 4054 6 瑞幸咖啡(富顿中心店) 3945 7 星巴克(首都机场t3停车楼店) 3941 8 starbucks coffee(中国国际 贸易中心店) 3904 9 在水一方(
